,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio
38,FKTIX,Barclays Municipal TR USD,94.55,1.08,-0.23,3.06,USD,10,4.87,4.84,0.68,1.0
39,NSTMX,Barclays US Agg Bond TR USD,32.88,0.29,0.58,5.28,USD,10,1.63,3.06,0.91,1.6
40,HLGEX,S&P 500 TR USD,72.39,1.25,-3.82,17.26,USD,10,18.87,10.17,0.53,0.78
41,PCBAX,Morningstar Moderate Target Risk,95.07,1.07,-1.75,3.61,USD,10,10.62,5.39,0.41,0.57
42,HLLVX,Barclays US Agg Bond TR USD,67.03,0.3,0.32,4.36,USD,10,1.21,2.83,1.07,2.25
43,FBIDX,Barclays US Agg Bond TR USD,98.04,0.96,-0.23,3.02,USD,10,3.11,4.42,0.9,1.56
44,FIMIX,Barclays Municipal TR USD,97.32,0.81,-0.09,3.19,USD,10,3.55,4.1,0.71,1.09
45,RPMGX,S&P 500 TR USD,74.7,1.03,-0.95,19.64,USD,10,17.11,11.26,0.62,0.91
46,FHIFX,Barclays US Agg Bond TR USD,10.47,0.8,2.06,5.58,USD,10,8.04,5.98,0.57,0.78
47,FBALX,Morningstar Moderate Target Risk,94.79,1.12,0.32,5.62,USD,10,11.14,7.83,0.6,0.85
48,GTFBX,Barclays Municipal TR USD,97.51,1.08,-0.68,2.63,USD,10,4.75,4.35,0.59,0.86
49,FDFFX,S&P 500 TR USD,66.61,1.2,-2.02,18.81,USD,10,20.91,9.55,0.47,0.67
50,MBGRX,MSCI ACWI NR USD,60.79,1.19,0.35,4.07,USD,10,25.36,6.38,0.32,0.44
51,FBGRX,S&P 500 TR USD,80.1,1.2,-1.73,19.24,USD,10,16.64,9.57,0.54,0.81
52,CLSPX,S&P 500 TR USD,73.32,1.16,-7.7,13.03,USD,10,18.37,9.94,0.53,0.76
53,AWSHX,S&P 500 TR USD,92.21,0.85,1.2,22.27,USD,10,13.34,7.63,0.51,0.7
54,FICDX,MSCI ACWI Ex USA NR USD,77.08,0.94,2.61,6.97,USD,10,20.15,8.07,0.42,0.6
55,FRNJX,Barclays Municipal TR USD,94.0,1.06,-0.75,2.54,USD,10,4.78,4.22,0.56,0.83
56,FDETX,S&P 500 TR USD,88.96,1.04,-2.13,18.41,USD,10,16.28,7.29,0.42,0.58
57,PSTIX,S&P 500 TR USD,91.29,-0.94,2.91,15.64,USD,10,13.49,-3.83,-0.34,-0.5
58,PREMX,Barclays US Agg Bond TR USD,23.02,1.47,2.18,4.56,USD,10,10.02,8.2,0.69,0.93
59,VWNFX,S&P 500 TR USD,95.35,0.97,-0.12,20.66,USD,10,15.06,7.61,0.46,0.64
60,FWRLX,MSCI ACWI NR USD,70.71,0.93,2.94,8.08,USD,10,18.23,9.02,0.49,0.67
61,JEMDX,Barclays US Agg Bond TR USD,23.22,1.78,0.65,3.28,USD,10,12.12,7.36,0.53,0.65
62,FSPTX,MSCI ACWI NR USD,75.32,1.16,3.05,7.24,USD,10,22.1,9.93,0.47,0.69
63,PTRIX,Barclays US Agg Bond TR USD,56.75,0.69,1.55,5.58,USD,10,2.94,5.38,1.26,2.32
64,VTMGX,MSCI ACWI Ex USA NR USD,96.03,0.97,-0.43,3.96,USD,10,18.61,5.36,0.3,0.41
65,FSGRX,S&P 500 TR USD,52.55,1.12,-2.73,17.64,USD,10,19.83,9.11,0.46,0.67
66,SRINX,Barclays US Agg Bond TR USD,41.38,1.15,0.52,3.66,USD,10,5.75,5.73,0.72,1.13
67,FKITX,Barclays Municipal TR USD,96.29,0.99,-0.52,2.74,USD,10,4.41,4.24,0.61,0.95
68,FFALX,Morningstar Moderate Target Risk,94.46,1.39,-2.52,3.26,USD,10,13.81,6.05,0.39,0.53
69,RPBAX,Morningstar Moderate Target Risk,97.87,1.12,-0.33,5.02,USD,10,10.98,7.17,0.55,0.78
70,FSAZX,Barclays Municipal TR USD,98.65,1.05,-0.44,2.85,USD,10,4.6,4.52,0.64,0.96
71,FASFX,Barclays US Agg Bond TR USD,25.19,0.22,-0.08,2.87,USD,10,1.38,2.16,0.44,0.64
72,FFFEX,Morningstar Moderate Target Risk,97.17,1.38,-2.5,3.29,USD,10,13.58,6.07,0.39,0.54
73,MDILX,MSCI ACWI Ex USA NR USD,96.07,1.0,-0.94,3.39,USD,10,19.23,4.92,0.27,0.38
74,PMHIX,S&P 500 TR USD,45.43,0.67,-3.81,13.74,USD,10,8.85,10.39,1.0,1.8
75,PRESX,MSCI ACWI Ex USA NR USD,92.33,1.04,1.64,5.89,USD,10,20.35,7.64,0.39,0.57
76,PGOVX,Barclays US Agg Bond TR USD,73.88,2.76,-2.42,2.25,USD,10,10.5,7.75,0.62,1.12
77,FADAX,S&P 500 TR USD,91.67,1.13,-2.9,17.91,USD,10,18.65,7.33,0.39,0.56
78,OICAX,Morningstar Moderate Target Risk,93.74,0.55,0.76,6.99,USD,10,5.47,5.39,0.7,1.06
79,FRCIX,Barclays Municipal TR USD,93.31,1.16,-0.46,2.86,USD,10,5.25,4.84,0.63,0.95
80,TRRHX,Morningstar Moderate Target Risk,97.34,1.42,-1.45,4.11,USD,10,13.89,7.35,0.47,0.67
81,FKCIX,Barclays Municipal TR USD,93.1,0.95,-0.36,2.89,USD,10,4.27,4.26,0.63,1.0
82,FSLVX,S&P 500 TR USD,92.31,0.96,0.78,21.74,USD,10,15.88,6.4,0.38,0.51
83,VHGEX,MSCI ACWI Ex USA NR USD,94.66,0.94,1.1,5.68,USD,10,18.14,6.86,0.38,0.52
84,VMATX,Barclays Municipal TR USD,97.83,1.08,-0.51,2.79,USD,10,4.76,4.53,0.63,0.92
85,FRSGX,S&P 500 TR USD,72.98,1.17,-6.01,14.77,USD,10,18.06,8.69,0.47,0.68
86,MAPCX,MSCI ACWI Ex USA NR USD,88.04,0.92,1.46,6.04,USD,10,18.53,7.11,0.38,0.57
87,TRRAX,Morningstar Moderate Target Risk,98.15,1.05,-0.68,4.67,USD,10,10.23,6.43,0.51,0.73
88,PRSIX,Morningstar Moderate Target Risk,97.47,0.88,0.26,5.75,USD,10,8.54,6.56,0.61,0.89
89,SLMCX,MSCI ACWI NR USD,70.85,0.9,4.93,10.72,USD,10,17.64,11.15,0.6,0.91
90,FSCPX,MSCI ACWI NR USD,69.56,0.9,3.23,8.64,USD,10,17.72,9.27,0.5,0.76
91,FFAVX,Morningstar Moderate Target Risk,96.23,0.87,-1.53,3.58,USD,10,8.55,4.63,0.4,0.55
92,VWELX,Morningstar Moderate Target Risk,96.52,0.99,1.33,6.81,USD,10,9.77,8.29,0.71,1.04
93,MASPX,S&P 500 TR USD,74.44,1.31,-7.38,14.27,USD,10,20.6,7.08,0.36,0.5
94,FBSOX,MSCI ACWI NR USD,73.98,0.96,6.57,12.24,USD,10,18.34,13.23,0.69,1.04
95,FDSSX,S&P 500 TR USD,91.17,1.06,-1.4,19.33,USD,10,15.83,7.86,0.46,0.66
96,FGBLX,Morningstar Moderate Target Risk,92.3,1.11,-0.37,4.95,USD,10,11.16,7.01,0.53,0.78
97,TREMX,MSCI ACWI Ex USA NR USD,75.92,1.47,-1.62,1.39,USD,10,31.75,3.56,0.23,0.32
98,FKUSX,Barclays US Agg Bond TR USD,77.61,0.7,0.35,3.79,USD,10,2.55,4.17,1.0,1.9
99,CMUAX,S&P 500 TR USD,84.96,1.02,-0.01,20.79,USD,10,17.37,9.05,0.5,0.71
100,NFEAX,S&P 500 TR USD,69.15,1.02,-1.38,19.08,USD,10,16.4,8.4,0.48,0.72
101,FUGAX,MSCI ACWI NR USD,41.54,0.54,5.32,15.04,USD,10,14.01,9.72,0.63,0.85
102,MEURX,MSCI ACWI Ex USA NR USD,78.47,0.62,3.58,10.9,USD,10,13.25,8.3,0.56,0.8
103,VTINX,Morningstar Moderate Target Risk,86.27,0.54,1.01,7.48,USD,10,5.58,5.57,0.72,1.06
104,PSDIX,Barclays Municipal TR USD,22.74,0.37,-2.0,-2.31,USD,10,3.42,0.67,-0.23,-0.26
105,FFTYX,S&P 500 TR USD,72.75,1.04,-1.87,18.60,USD,10,17.65,7.18,0.4,0.54
106,FAMRX,Morningstar Moderate Target Risk,95.78,1.54,-2.3,3.54,USD,10,15.18,6.97,0.42,0.6
107,SEMAX,Barclays Municipal TR USD,92.55,0.92,-0.62,2.59,USD,10,4.19,3.92,0.57,0.86
108,FNMIX,Barclays US Agg Bond TR USD,27.59,1.65,2.14,4.39,USD,10,10.28,8.77,0.72,0.98
109,NIVLX,MSCI ACWI Ex USA NR USD,87.62,0.86,-1.2,3.02,USD,10,17.36,4.13,0.24,0.33
110,PRSGX,S&P 500 TR USD,88.36,1.07,-4.23,16.20,USD,10,16.5,8.09,0.46,0.66
111,SHSAX,MSCI ACWI NR USD,52.92,0.57,10.24,24.51,USD,10,13.02,15.6,1.06,1.78
112,MBDVX,S&P 500 TR USD,91.39,0.86,-2.91,16.75,USD,10,13.31,7.81,0.52,0.74
113,PRULX,Barclays US Agg Bond TR USD,64.82,2.7,-2.81,2.05,USD,10,10.97,7.05,0.54,0.96
114,MACPX,Morningstar Moderate Target Risk,91.76,1.05,-0.52,4.8,USD,10,10.59,6.57,0.51,0.7
115,FLMVX,S&P 500 TR USD,86.39,0.9,2.99,24.61,USD,10,15.23,10.13,0.61,0.87
116,PRMTX,MSCI ACWI NR USD,84.94,1.06,7.84,12.93,USD,10,19.09,15.27,0.77,1.14
117,FACDX,MSCI ACWI NR USD,60.96,0.7,8.91,18.71,USD,10,14.87,14.72,0.9,1.38
118,RPIBX,Barclays US Agg Bond TR USD,33.06,1.47,-3.14,0.87,USD,10,8.37,2.8,0.19,0.28
119,FRKYX,Barclays Municipal TR USD,94.35,1.03,-0.57,2.71,USD,10,4.61,4.3,0.6,0.87
120,FINPX,Barclays US Agg Bond TR USD,61.24,1.5,-2.26,1.63,USD,10,6.27,3.98,0.41,0.6
121,FNARX,MSCI ACWI NR USD,62.67,1.28,1.99,5.3,USD,10,26.69,8.28,0.38,0.54
122,SRHMX,Barclays Municipal TR USD,59.56,1.2,-0.64,2.64,USD,10,6.85,4.7,0.48,0.66
123,PRGIX,S&P 500 TR USD,95.8,0.99,-0.46,20.28,USD,10,14.4,7.72,0.48,0.68
124,FIGRX,MSCI ACWI Ex USA NR USD,96.31,0.97,0.54,5.01,USD,10,18.67,6.4,0.35,0.49
125,PRIDX,MSCI ACWI Ex USA NR USD,92.97,0.98,3.67,8.35,USD,10,19.11,9.7,0.5,0.71
126,FNIAX,S&P 500 TR USD,81.89,0.97,-1.42,18.99,USD,10,14.04,9.65,0.62,0.91
127,MALMX,Barclays Municipal TR USD,46.68,0.15,-0.04,3.02,USD,10,0.94,1.98,0.46,0.77
128,JPIEX,S&P 500 TR USD,97.47,1.04,0.34,21.30,USD,10,14.93,8.68,0.53,0.77
129,VQNPX,S&P 500 TR USD,99.2,1.02,0.24,21.16,USD,10,15.06,7.28,0.44,0.61
130,MAWIX,Barclays US Agg Bond TR USD,42.57,1.16,-1.04,2.24,USD,10,5.84,4.13,0.46,0.69
131,PRDGX,S&P 500 TR USD,96.44,0.92,0.18,20.96,USD,10,13.76,8.25,0.54,0.76
132,FSTCX,MSCI ACWI NR USD,61.9,0.85,1.96,7.02,USD,10,17.79,7.47,0.41,0.56
133,VPAIX,Barclays Municipal TR USD,98.16,1.01,-0.34,2.94,USD,10,4.43,4.49,0.66,0.99
134,AIBAX,Barclays US Agg Bond TR USD,81.51,0.59,-0.61,2.2,USD,10,2.1,2.82,0.6,0.91
135,FDMMX,Barclays Municipal TR USD,98.54,1.01,-0.2,3.08,USD,10,4.44,4.64,0.69,1.04
136,FFFFX,Morningstar Moderate Target Risk,97.2,1.49,-2.84,3.14,USD,10,14.64,6.2,0.38,0.53
137,TRLGX,S&P 500 TR USD,72.68,1.19,-1.99,18.88,USD,10,17.26,9.65,0.53,0.79
138,VNJTX,Barclays Municipal TR USD,97.56,1.06,-0.5,2.79,USD,10,4.7,4.49,0.63,0.93
139,VASIX,Morningstar Moderate Target Risk,82.49,0.44,0.9,7.66,USD,10,4.68,4.91,0.72,1.03
140,AMRMX,S&P 500 TR USD,88.51,0.78,2.01,23.49,USD,10,12.11,8.06,0.58,0.82
141,NMTAX,S&P 500 TR USD,72.17,1.09,-2.71,17.81,USD,10,18.42,7.49,0.4,0.57
142,FFNOX,Morningstar Moderate Target Risk,97.68,1.37,-1.57,4.0,USD,10,13.35,6.99,0.46,0.65
143,STLCX,Morningstar Moderate Target Risk,97.85,1.06,-1.66,3.69,USD,10,10.31,5.42,0.42,0.58
144,ONJAX,Barclays Municipal TR USD,55.33,1.82,-2.69,1.53,USD,10,10.78,4.3,0.3,0.43
145,OREAX,MSCI ACWI NR USD,55.14,1.15,3.0,6.36,USD,10,25.6,8.83,0.4,0.58
146,SPHIX,Barclays US Agg Bond TR USD,4.92,0.66,4.01,8.96,USD,10,9.66,7.41,0.63,0.89
147,PREIX,S&P 500 TR USD,100.0,1.0,-0.28,20.54,USD,10,14.68,7.79,0.48,0.68
148,FAHIX,Barclays Municipal TR USD,98.19,1.02,-0.3,2.98,USD,10,4.47,4.56,0.67,1.0
149,PSGIX,S&P 500 TR USD,75.6,1.53,-12.39,11.39,USD,10,20.08,9.25,0.47,0.67
150,COSIX,Barclays US Agg Bond TR USD,31.04,0.91,1.32,4.68,USD,10,5.27,5.77,0.8,1.19
151,FSDCX,MSCI ACWI NR USD,70.06,1.22,-0.31,3.86,USD,10,24.14,6.25,0.31,0.45
152,GANYX,Barclays Municipal TR USD,95.23,0.87,-0.66,2.51,USD,10,3.88,3.71,0.56,0.83
153,FSCHX,MSCI ACWI NR USD,75.32,1.1,5.88,10.4,USD,10,20.87,12.92,0.62,0.95
154,CGRWX,S&P 500 TR USD,93.43,1.01,-2.93,17.44,USD,10,15.72,6.53,0.39,0.54
155,AMCPX,S&P 500 TR USD,86.77,0.97,0.79,21.72,USD,10,14.92,8.63,0.53,0.78
156,TRRFX,Morningstar Moderate Target Risk,98.37,0.9,-0.23,5.15,USD,10,8.81,6.19,0.55,0.8
157,FAMKX,MSCI ACWI Ex USA NR USD,88.24,1.25,2.85,6.07,USD,10,25.01,9.09,0.42,0.59
158,FLVCX,S&P 500 TR USD,71.68,1.08,-0.3,20.45,USD,10,23.45,9.15,0.43,0.6
159,FKRCX,MSCI ACWI NR USD,23.61,1.07,-0.1,-0.04,USD,10,36.63,1.48,0.18,0.28
160,BFMCX,Barclays US Agg Bond TR USD,58.78,0.94,-0.16,3.06,USD,10,3.95,4.4,0.72,1.12
161,TEEMX,MSCI ACWI Ex USA NR USD,88.94,1.17,1.69,5.39,USD,10,23.28,7.81,0.38,0.54
162,PRIPX,Barclays US Agg Bond TR USD,62.38,1.48,-1.93,1.85,USD,10,6.11,4.25,0.46,0.67
163,FMINX,Barclays Municipal TR USD,96.42,0.95,-0.28,2.98,USD,10,4.2,4.34,0.66,0.98
164,PGSGX,S&P 500 TR USD,56.04,1.23,-6.84,14.07,USD,10,20.99,8.96,0.44,0.64
165,PRLAX,MSCI ACWI Ex USA NR USD,78.1,1.37,5.22,7.12,USD,10,29.16,11.25,0.47,0.7
166,FRESX,MSCI ACWI NR USD,54.31,1.18,2.68,5.85,USD,10,26.52,8.45,0.39,0.55
167,NNIBX,Barclays Municipal TR USD,94.89,0.86,-0.72,2.43,USD,10,3.86,3.63,0.54,0.83
168,FADTX,MSCI ACWI NR USD,74.31,1.18,2.92,7.03,USD,10,22.51,9.78,0.46,0.67
169,APSAX,Barclays US Agg Bond TR USD,62.67,1.52,-2.31,1.62,USD,10,6.27,3.97,0.41,0.6
170,FMSFX,Barclays US Agg Bond TR USD,66.13,0.65,0.36,3.82,USD,10,2.5,4.02,0.94,1.57
171,PHIYX,Barclays US Agg Bond TR USD,11.02,0.96,2.75,5.87,USD,10,9.38,7.13,0.62,0.87
172,PIPAX,MSCI ACWI Ex USA NR USD,84.47,0.81,3.81,9.52,USD,10,16.58,9.25,0.53,0.76
173,HLGFX,Barclays US Agg Bond TR USD,0.39,0.06,1.52,27.9,USD,10,3.14,3.23,0.53,0.74
174,VSNGX,S&P 500 TR USD,83.34,1.07,-0.57,20.22,USD,10,16.56,9.97,0.57,0.82
175,QVSCX,S&P 500 TR USD,76.93,1.07,-4.14,16.24,USD,10,18.97,7.17,0.38,0.52
176,PMBIX,Barclays US Agg Bond TR USD,74.8,1.02,0.72,3.99,USD,10,3.8,5.59,1.04,1.92
177,VSCGX,Morningstar Moderate Target Risk,96.77,0.76,-0.1,5.34,USD,10,7.43,5.56,0.56,0.79
178,TICPX,Barclays US Agg Bond TR USD,77.9,0.99,0.78,4.09,USD,10,3.58,5.55,1.08,1.74
179,UMEMX,MSCI ACWI Ex USA NR USD,87.5,1.17,2.11,5.67,USD,10,23.62,8.17,0.39,0.55
180,PRJPX,MSCI ACWI Ex USA NR USD,58.5,0.66,-1.87,1.28,USD,10,16.21,2.37,0.13,0.18
181,FGIRX,S&P 500 TR USD,95.95,1.0,0.29,21.18,USD,10,15.14,7.53,0.46,0.64
182,BGPAX,Barclays US Agg Bond TR USD,70.99,0.76,0.68,4.18,USD,10,2.91,4.71,1.06,2.02
183,JPIAX,S&P 500 TR USD,96.18,1.05,0.62,21.62,USD,10,15.22,8.4,0.51,0.72
184,AMHIX,Barclays Municipal TR USD,63.73,1.14,-0.36,2.88,USD,10,6.24,4.8,0.53,0.76
185,FAGNX,MSCI ACWI NR USD,61.45,1.26,1.19,4.63,USD,10,26.58,7.35,0.35,0.49
186,OPNYX,Barclays Municipal TR USD,66.78,1.91,-2.77,1.6,USD,10,10.32,4.59,0.34,0.48
187,VFSTX,Barclays US Agg Bond TR USD,33.74,0.46,0.65,4.69,USD,10,2.53,3.67,0.82,1.25
188,VWUSX,S&P 500 TR USD,82.49,1.16,-2.12,18.77,USD,10,15.83,8.18,0.48,0.7
189,VSGBX,Barclays US Agg Bond TR USD,71.93,0.42,0.27,3.93,USD,10,1.66,3.19,1.0,2.05
190,PSPTX,S&P 500 TR USD,92.11,1.05,2.54,23.83,USD,10,17.21,10.2,0.56,0.81
191,FEAAX,MSCI ACWI Ex USA NR USD,82.23,1.06,6.77,10.86,USD,10,22.03,13.04,0.6,0.94
192,PRGMX,Barclays US Agg Bond TR USD,79.51,0.71,0.58,4.12,USD,10,2.54,4.44,1.1,2.04
193,NAESX,S&P 500 TR USD,78.62,1.18,-4.02,16.86,USD,10,19.61,9.25,0.47,0.69
194,SHGTX,MSCI ACWI NR USD,75.58,0.95,3.95,9.31,USD,10,17.98,10.33,0.56,0.81
195,FDSCX,S&P 500 TR USD,73.6,1.19,-7.7,13.26,USD,10,20.59,7.18,0.37,0.52
196,ONGAX,Morningstar Moderate Target Risk,95.95,1.41,-1.37,4.16,USD,10,13.9,7.38,0.47,0.67
197,CMGUX,Barclays US Agg Bond TR USD,12.12,0.09,0.06,3.89,USD,10,0.88,1.89,0.41,0.56
198,NMSAX,S&P 500 TR USD,71.07,1.17,-4.45,16.30,USD,10,19.1,8.55,0.45,0.65
199,FSELX,MSCI ACWI NR USD,64.55,1.17,2.73,6.57,USD,10,23.98,9.19,0.42,0.64
200,FPBFX,MSCI ACWI Ex USA NR USD,88.14,1.11,3.25,7.08,USD,10,22.25,9.39,0.45,0.64
201,ABNDX,Barclays US Agg Bond TR USD,52.82,0.95,-0.95,2.2,USD,10,4.25,3.62,0.5,0.67
202,PIGLX,Barclays US Agg Bond TR USD,46.44,1.6,-1.67,2.06,USD,10,7.64,4.81,0.45,0.71
203,VWITX,Barclays Municipal TR USD,96.92,0.9,-0.16,3.11,USD,10,3.98,4.32,0.69,1.06
204,FSENX,MSCI ACWI NR USD,60.46,1.25,1.95,5.27,USD,10,26.56,8.09,0.37,0.53
205,VISVX,S&P 500 TR USD,80.52,1.18,-3.06,17.83,USD,10,19.56,8.46,0.44,0.63
206,FCAGX,S&P 500 TR USD,63.16,1.14,-4.75,15.78,USD,10,19.6,9.28,0.48,0.69
207,FFRAX,Barclays US Agg Bond TR USD,0.42,0.12,2.23,21.71,USD,10,5.73,4.02,0.45,0.6
208,VASVX,S&P 500 TR USD,83.52,0.98,0.02,20.76,USD,10,15.73,9.57,0.56,0.82
209,PMEGX,S&P 500 TR USD,74.67,1.05,-0.86,19.80,USD,10,17.58,11.6,0.63,0.92
210,FHAIX,Barclays US Agg Bond TR USD,8.32,0.86,3.23,6.7,USD,10,9.72,7.28,0.61,0.88
211,PETAX,MSCI ACWI NR USD,51.82,1.31,5.64,7.35,USD,10,30.11,11.16,0.46,0.65
212,MANKX,Barclays Municipal TR USD,85.85,1.17,-0.65,2.68,USD,10,5.54,4.67,0.57,0.84
213,FAGIX,Barclays US Agg Bond TR USD,2.21,0.53,5.87,13.72,USD,10,11.56,8.74,0.65,0.95
214,FDESX,S&P 500 TR USD,93.84,1.06,-0.07,20.83,USD,10,17.94,8.83,0.48,0.69
215,PLDTX,Barclays US Agg Bond TR USD,31.13,0.44,0.4,4.17,USD,10,2.57,3.36,0.7,1.09
216,BRACX,Barclays US Agg Bond TR USD,66.62,1.47,-0.15,3.12,USD,10,5.82,6.1,0.78,1.16
217,PRPIX,Barclays US Agg Bond TR USD,60.77,1.46,-0.46,2.89,USD,10,6.07,5.74,0.69,1.0
218,FASPX,S&P 500 TR USD,79.04,1.02,-0.96,19.65,USD,10,21.95,7.14,0.36,0.5
219,VBIIX,Barclays US Agg Bond TR USD,96.24,1.54,-0.89,2.65,USD,10,5.1,5.62,0.79,1.35
220,VGSTX,Morningstar Moderate Target Risk,98.7,1.08,-0.04,5.32,USD,10,10.44,7.24,0.58,0.84
221,MAMTX,Barclays Municipal TR USD,91.9,1.0,-0.11,3.17,USD,10,4.56,4.7,0.69,1.11
222,FSLCX,S&P 500 TR USD,78.73,1.18,-7.81,13.16,USD,10,21.4,7.26,0.36,0.53
223,ODMAX,MSCI ACWI Ex USA NR USD,88.34,1.12,6.29,10.08,USD,10,22.38,12.78,0.59,0.89
224,FHEAX,MSCI ACWI NR USD,55.05,1.23,3.19,6.12,USD,10,27.37,9.04,0.4,0.58
225,FRVLX,S&P 500 TR USD,65.04,1.21,-7.18,13.79,USD,10,20.44,7.97,0.4,0.6
226,VHCOX,S&P 500 TR USD,69.49,1.01,4.26,25.78,USD,10,17.78,10.66,0.58,0.85
227,VBMFX,Barclays US Agg Bond TR USD,99.0,1.01,-0.17,3.1,USD,10,3.28,4.66,0.93,1.65
228,VCAIX,Barclays Municipal TR USD,96.55,0.93,-0.27,2.99,USD,10,4.12,4.31,0.66,1.04
229,ACTWX,S&P 500 TR USD,68.9,1.14,-5.75,14.84,USD,10,20.39,7.63,0.39,0.55
230,VINTX,Barclays Municipal TR USD,90.25,0.78,-0.44,2.71,USD,10,3.54,3.62,0.58,0.91
231,VTSMX,S&P 500 TR USD,98.66,1.03,-0.83,19.95,USD,10,15.25,8.37,0.51,0.72
232,TAFTX,Barclays Municipal TR USD,86.32,1.18,-0.57,2.76,USD,10,5.56,4.79,0.59,0.9
