,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio
870,AALTX,Morningstar Moderate Target Risk,95.56,1.3,2.23,12.80,USD,3,8.46,16.66,1.87,3.46
871,FLDAX,Barclays US Agg Bond TR USD,16.51,0.18,1.62,11.92,USD,3,1.22,2.24,1.77,3.57
872,PIXAX,S&P 500 TR USD,90.71,1.06,2.62,23.91,USD,3,10.01,25.28,2.32,4.59
873,FSAEX,S&P 500 TR USD,96.24,1.03,-0.69,20.09,USD,3,9.52,20.81,2.04,4.05
874,JLTAX,MSCI ACWI Ex USA NR USD,68.2,1.19,-12.0,-1.21,USD,3,18.47,-1.38,0.01,0.02
875,CNBAX,Barclays US Agg Bond TR USD,34.05,1.23,-2.27,0.97,USD,3,5.72,1.25,0.24,0.32
876,AAHTX,Morningstar Moderate Target Risk,95.46,1.3,2.28,12.85,USD,3,8.46,16.71,1.87,3.46
877,FSNGX,MSCI ACWI NR USD,43.7,1.03,-9.74,3.63,USD,3,16.35,3.79,0.3,0.43
878,PLRIX,Barclays US Agg Bond TR USD,92.79,2.93,-1.5,2.39,USD,3,8.24,7.04,0.86,1.42
879,WFBIX,Barclays US Agg Bond TR USD,99.64,1.01,-0.24,2.70,USD,3,2.74,2.78,0.99,1.64
880,FSRBX,MSCI ACWI NR USD,41.38,0.68,11.67,33.75,USD,3,11.11,22.99,1.93,4.02
881,PRAIX,Barclays US Agg Bond TR USD,87.22,3.46,-7.32,0.68,USD,3,10.04,2.43,0.28,0.38
882,VPMCX,S&P 500 TR USD,83.87,0.94,3.93,25.73,USD,3,9.23,24.11,2.4,5.49
883,BRGNX,S&P 500 TR USD,99.45,1.02,-0.28,20.55,USD,3,9.21,20.93,2.12,4.15
884,FNGAX,MSCI ACWI Ex USA NR USD,88.91,0.94,-0.39,9.34,USD,3,12.77,8.86,0.73,1.08
885,CAIBX,Morningstar Moderate Target Risk,74.2,0.99,1.51,12.38,USD,3,7.36,12.35,1.62,2.99
886,VFIIX,Barclays US Agg Bond TR USD,78.55,0.91,-0.38,2.51,USD,3,2.78,2.34,0.82,1.32
887,FASIX,Morningstar Moderate Target Risk,81.46,0.4,1.33,14.06,USD,3,2.83,5.69,1.95,4.0
888,NSCMX,Barclays Municipal TR USD,95.58,0.82,-0.44,4.16,USD,3,3.21,3.47,1.06,1.76
889,FIENX,MSCI ACWI Ex USA NR USD,96.07,0.99,2.71,12.86,USD,3,12.92,12.8,1.0,1.63
890,PRWCX,Morningstar Moderate Target Risk,86.99,0.87,6.57,19.15,USD,3,5.95,16.73,2.63,6.04
891,FFKGX,Morningstar Moderate Target Risk,96.08,1.36,-0.41,10.52,USD,3,8.88,14.42,1.56,2.72
892,AGTHX,S&P 500 TR USD,84.23,1.02,-0.44,20.28,USD,3,10.01,20.67,1.93,3.94
893,PRTAX,Barclays Municipal TR USD,98.47,1.17,-0.04,4.69,USD,3,4.51,5.54,1.21,2.0
894,FSDAX,MSCI ACWI NR USD,52.79,0.78,7.98,25.95,USD,3,11.26,20.24,1.7,3.22
895,PFYAX,Morningstar Moderate Target Risk,79.37,1.04,-1.68,8.96,USD,3,7.45,9.38,1.24,2.08
896,FSGGX,MSCI ACWI Ex USA NR USD,98.52,1.0,-0.48,9.33,USD,3,12.8,9.34,0.76,1.16
897,ORAZX,Barclays Municipal TR USD,76.81,1.66,-2.64,3.02,USD,3,7.26,5.08,0.71,1.04
898,BFMSX,Barclays US Agg Bond TR USD,43.07,0.28,2.04,10.43,USD,3,1.14,2.94,2.49,4.4
899,MDSWX,S&P 500 TR USD,75.16,1.52,-13.02,10.89,USD,3,15.9,16.65,1.05,1.76
900,UMMGX,Barclays US Agg Bond TR USD,96.49,1.03,-0.05,2.89,USD,3,2.85,3.04,1.05,1.69
901,FDFAX,MSCI ACWI NR USD,51.22,0.76,7.02,24.69,USD,3,11.16,18.81,1.6,2.98
902,JPICX,Barclays Municipal TR USD,95.08,0.88,-0.1,4.60,USD,3,3.45,4.11,1.17,2.09
903,FRNRX,MSCI ACWI NR USD,54.8,1.31,-23.81,-5.04,USD,3,18.59,-6.53,-0.27,-0.33
904,PAGEX,MSCI ACWI NR USD,52.93,0.87,1.44,16.07,USD,3,12.52,13.98,1.11,1.85
905,CWBFX,Barclays US Agg Bond TR USD,49.67,1.18,-0.9,2.11,USD,3,4.52,2.54,0.56,0.84
906,FGEAX,MSCI ACWI Ex USA NR USD,80.68,0.85,9.63,22.52,USD,3,12.08,19.19,1.52,2.66
907,MADCX,MSCI ACWI Ex USA NR USD,82.3,1.09,-3.97,5.70,USD,3,15.3,6.25,0.47,0.71
908,NJTFX,Barclays Municipal TR USD,98.72,1.14,-0.18,4.56,USD,3,4.38,5.25,1.18,1.97
909,FASMX,Morningstar Moderate Target Risk,96.31,0.86,1.14,12.17,USD,3,5.61,10.56,1.81,3.62
910,BPRAX,Barclays US Agg Bond TR USD,80.57,1.61,-4.24,0.23,USD,3,4.86,0.43,0.1,0.13
911,FAERX,MSCI ACWI Ex USA NR USD,88.45,0.99,2.66,12.71,USD,3,13.48,12.67,0.95,1.56
912,FGHAX,Barclays US Agg Bond TR USD,17.38,0.78,6.15,11.02,USD,3,5.11,8.72,1.65,2.92
913,VBINX,Morningstar Moderate Target Risk,91.82,0.86,3.68,15.43,USD,3,5.72,13.31,2.22,4.5
914,FTAZX,Barclays Municipal TR USD,95.73,1.21,-0.78,4.05,USD,3,4.73,4.97,1.04,1.7
915,FGMNX,Barclays US Agg Bond TR USD,80.9,0.91,-0.2,2.71,USD,3,2.74,2.53,0.9,1.48
916,PTSHX,Barclays US Agg Bond TR USD,23.99,0.14,1.4,12.90,USD,3,0.79,1.9,2.31,4.56
917,RPICX,MSCI ACWI Ex USA NR USD,93.19,0.85,5.29,16.78,USD,3,11.2,14.27,1.25,2.2
918,TEDMX,MSCI ACWI Ex USA NR USD,88.63,1.11,-8.4,1.68,USD,3,15.08,1.93,0.2,0.27
919,QIVAX,MSCI ACWI Ex USA NR USD,83.41,0.94,3.2,13.48,USD,3,13.1,12.69,0.98,1.53
920,VEVFX,S&P 500 TR USD,79.06,1.15,-3.94,16.82,USD,3,11.7,19.41,1.58,2.74
921,FRTIX,Barclays Municipal TR USD,95.17,1.14,-1.44,3.40,USD,3,4.46,3.94,0.87,1.38
922,UMBIX,S&P 500 TR USD,86.59,1.07,-2.37,18.24,USD,3,10.39,19.57,1.78,3.32
923,FGTIX,Morningstar Moderate Target Risk,93.87,1.21,-1.03,9.86,USD,3,7.99,12.02,1.46,2.56
924,MDISX,MSCI ACWI Ex USA NR USD,74.5,0.56,8.99,27.57,USD,3,8.25,15.43,1.78,3.19
925,IMNTX,Barclays Municipal TR USD,98.74,1.03,0.24,4.96,USD,3,3.95,5.16,1.28,2.18
926,COGAX,MSCI ACWI Ex USA NR USD,53.38,0.7,11.29,27.51,USD,3,12.24,19.32,1.51,2.89
927,FWPAX,MSCI ACWI Ex USA NR USD,87.51,0.81,5.32,17.08,USD,3,11.04,13.88,1.23,2.04
928,MDFOX,S&P 500 TR USD,68.83,1.16,-4.98,15.70,USD,3,12.62,18.23,1.39,2.43
929,FAFFX,Morningstar Moderate Target Risk,96.48,1.32,-0.7,10.25,USD,3,8.55,13.55,1.53,2.63
930,FAFDX,MSCI ACWI NR USD,67.85,0.97,7.95,24.00,USD,3,12.43,23.42,1.76,3.71
931,PZCRX,Barclays US Agg Bond TR USD,39.25,0.53,2.36,7.47,USD,3,2.3,4.02,1.7,2.59
932,JEPAX,S&P 500 TR USD,96.61,1.1,-1.06,19.82,USD,3,10.12,21.87,2.01,3.82
933,VSEQX,S&P 500 TR USD,86.54,1.18,-0.95,20.04,USD,3,11.47,23.71,1.92,3.76
934,OUSGX,Barclays US Agg Bond TR USD,71.27,0.53,0.74,4.36,USD,3,1.71,2.38,1.35,2.77
935,HLTAX,Barclays Municipal TR USD,96.98,0.75,-0.08,4.61,USD,3,2.93,3.54,1.18,2.05
936,NMDMX,Barclays Municipal TR USD,95.87,0.8,-0.86,3.61,USD,3,3.13,2.95,0.93,1.48
937,FSMEX,MSCI ACWI NR USD,40.95,0.81,13.18,32.97,USD,3,13.37,26.88,1.86,4.19
938,MAIIX,MSCI ACWI Ex USA NR USD,94.72,1.0,1.2,11.13,USD,3,13.16,11.22,0.87,1.4
939,OPGIX,MSCI ACWI Ex USA NR USD,45.87,0.8,6.66,18.34,USD,3,15.04,14.68,0.99,1.59
940,FDEGX,S&P 500 TR USD,80.57,1.13,-3.41,17.31,USD,3,11.41,19.67,1.64,3.15
941,FPADX,MSCI ACWI Ex USA NR USD,78.74,1.07,-5.02,4.56,USD,3,15.34,4.92,0.38,0.58
942,JMTAX,Barclays US Agg Bond TR USD,86.97,0.86,2.18,5.55,USD,3,2.51,4.85,1.88,3.6
943,FFHCX,Barclays US Agg Bond TR USD,5.82,0.2,6.3,34.95,USD,3,2.28,7.15,3.02,9.34
944,ORNAX,Barclays Municipal TR USD,84.21,1.8,0.86,5.23,USD,3,7.5,9.48,1.24,1.91
945,VSLPX,S&P 500 TR USD,98.73,1.04,0.42,21.39,USD,3,9.43,22.23,2.18,4.24
946,FLGEX,S&P 500 TR USD,95.23,1.03,-0.5,20.30,USD,3,9.55,20.98,2.05,4.07
947,FGRTX,S&P 500 TR USD,95.54,1.04,0.32,21.26,USD,3,9.59,22.11,2.14,3.92
948,VSTCX,S&P 500 TR USD,79.19,1.24,-3.77,17.36,USD,3,12.65,21.67,1.62,3.11
949,TAPRX,MSCI ACWI Ex USA NR USD,83.49,0.98,0.23,9.96,USD,3,13.73,9.85,0.75,1.14
950,BHYAX,Barclays US Agg Bond TR USD,25.6,0.86,7.91,12.56,USD,3,4.64,10.92,2.25,4.55
951,FEMSX,MSCI ACWI Ex USA NR USD,83.89,1.12,-3.96,5.82,USD,3,15.65,6.59,0.48,0.74
952,FIBIX,Barclays US Agg Bond TR USD,88.37,1.49,-2.35,1.32,USD,3,4.3,2.02,0.47,0.74
953,ORMIX,Barclays Municipal TR USD,73.89,1.44,-2.19,3.10,USD,3,6.42,4.53,0.71,1.06
954,AUGAX,Barclays US Agg Bond TR USD,63.16,0.59,1.89,6.21,USD,3,2.02,3.73,1.8,3.75
955,FFVAX,Morningstar Moderate Target Risk,97.72,0.86,-0.16,10.52,USD,3,5.56,9.12,1.59,2.82
956,OHYAX,Barclays US Agg Bond TR USD,26.98,0.84,6.35,10.84,USD,3,4.38,9.14,2.02,3.76
957,FSVLX,MSCI ACWI NR USD,61.9,0.81,11.4,30.74,USD,3,10.84,24.98,2.12,4.54
958,MASKX,S&P 500 TR USD,70.95,1.24,-6.35,14.78,USD,3,13.27,18.33,1.34,2.43
959,PTSAX,Barclays US Agg Bond TR USD,84.88,1.18,1.11,3.91,USD,3,3.47,4.67,1.32,2.18
960,FIPFX,Morningstar Moderate Target Risk,97.03,1.32,-0.91,10.07,USD,3,8.52,13.31,1.51,2.56
961,VSITX,Barclays Municipal TR USD,95.39,0.76,-0.64,3.84,USD,3,2.98,2.98,0.98,1.7
962,FINVX,MSCI ACWI Ex USA NR USD,87.64,0.94,2.45,12.62,USD,3,12.9,11.99,0.94,1.56
963,VFFVX,Morningstar Moderate Target Risk,97.24,1.39,0.62,11.38,USD,3,8.96,15.83,1.69,2.98
