,Fund_Ticker,Status,TTM_Yield_in_percent,PortfolioMktValue_in_millions,TotalAssets_in_millions,ExpenseRatio_in_percent,Net Expense Ratio %,Gross Expense Ratio %,Turnover_in_percent,Yield_in_percent,Status,FeeLevel,Fund_Manager,Manager_Start_Date,Fund_Inception,MorningstarCategory,InvestmentStyle,FeeLevel,Load,Max Front Load %,Max Back Load %,Return
42,VASGX,Open,1.97,16800.0,10800.0,0.17,0.17,0.17,9,2.10,Open,Low,Management Team,1994-09-30 00:00:00,09/30/1994,Aggressive Allocation,Large Blend,Low,None,,,8.23
43,VASIX,Open,2.00,16800.0,3200.0,0.14,0.14,0.14,25,2.14,Open,Low,Management Team,1994-09-30 00:00:00,09/30/1994,Conservative Allocation,Large Blend,Low,None,,,6.66
44,VSMGX,Open,1.94,16800.0,12000.0,0.16,0.16,0.16,15,2.11,Open,Low,Management Team,1994-09-30 00:00:00,09/30/1994,Moderate Allocation,Large Blend,Low,None,,,7.89
45,VBLTX,Open,3.95,16800.0,8000.0,0.20,0.20,0.20,50,3.73,Open,Low,Paul M. Malloy,2013-02-22 00:00:00,03/01/1994,Long-Term Bond,Mid/Extensive,Low,None,,,7.71
46,VLCIX,Open,4.37,16800.0,1300.0,0.09,0.09,0.09,54,4.43,Open,Low,Paul M. Malloy,2013-02-22 00:00:00,11/19/2009,Corporate Bond,Mid/Extensive,Low,None,,,9.04
47,VLGIX,Open,2.83,16800.0,313.5,0.09,0.09,0.09,23,2.79,Open,Low,Joshua C. Barrickman,2013-02-22 00:00:00,11/19/2009,Long Government,High/Extensive,Low,None,,,6.55
48,VWESX,Open,4.33,16800.0,15800.0,0.22,0.22,0.22,26,3.92,Open,Below Average,Scott I. St. John,2014-05-28 00:00:00,07/09/1973,Corporate Bond,Mid/Extensive,Below Average,None,,,8.6
49,VWLTX,Open,3.82,16800.0,8500.0,0.20,0.20,0.20,35,2.32,Open,Low,Mathew M. Kiselak,2010-07-16 00:00:00,09/01/1977,Muni National Long,Mid/Moderate,Low,None,,,6.15
50,VUSTX,Open,2.89,16800.0,3200.0,0.20,0.20,0.20,44,2.66,Open,Low,David R. Glocke,2001-05-29 00:00:00,05/19/1986,Long Government,High/Extensive,Low,None,,,7.96
51,VMLTX,Open,1.60,16800.0,20100.0,0.20,0.20,0.20,14,0.76,Open,Low,Marlin G. Brown,2008-02-22 00:00:00,08/31/1987,Muni National Short,High/Limited,Low,None,,,4.41
