"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Fleetcor Technologies, Inc.","1.69","EQUITY","FLT","Mid Growth","2010-12-31","99100","-18900","Industrials","138.33","-4.65|-3.25%","141.55-136.88","1260406","160.4-101.48","United States","0.97","22.44","69.69","-","11986.25","USD","-","22.03","37.39","-","-","-"
"ICF International Inc","1.64","EQUITY","ICFI","Small Core","2012-12-31","397811","-40300","Industrials","38.94","-0.28|-0.71%","39.47-38.76","69269","44.34-30.33","United States","18.63","21.24","14.91","7.78","760.82","USD","-","12.99","20.27","-","-","-"
"Virtusa Corp","1.43","EQUITY","VRTU","Small Growth","2010-08-31","308798","-242000","Technology","40.47","-0.92|-2.22%","41.5-40.35","124733","42.49-31.09","United States","15.97","20.57","39.4","35.71","1220.89","USD","-","8.66","30.7","-","-","-"
"Vantiv Inc","1.37","EQUITY","VNTV","Mid Growth","2012-09-30","390900","49500","Industrials","33.26","-0.12|-0.36%","33.46-33.09","1496608","34.9-28.45","United States","5.33","12.01","-","-","6314.6","USD","-","2.36","66.88","-","-","-"
"Electronics for Imaging Inc","1.23","EQUITY","EFII","Small Growth","2013-03-31","237800","113300","Technology","43.63","-0.28|-0.64%","44.31-43.27","184515","47.75-36.62","United States","-0.95","13.96","45.65","28.75","2064.28","USD","-","13.37","21.87","-","-","-"
"Global Cash Access Holdings Inc","1.23","EQUITY","GCA","Small Core","2014-03-31","1487700","626800","Industrials","6.5","-0.34|-4.97%","6.77-6.45","1443806","10.42-6.37","United States","-12.31","-26.37","13.89","-2.34","448.37","USD","-","-31.53","19.46","-","-","-"
"VeriFone Systems Inc","1.18","EQUITY","PAY","Mid Growth","2007-12-31","280700","162500","Industrials","33.01","-1.47|-4.26%","34.09-32.77","2330529","38.26-22.6","United States","-8.13","39.82","-7.08","19.21","3898.25","USD","-","28.56","-","-","-","-"
"WNS (Holdings) Ltd ADR","1.13","EQUITY","WNS","-","2009-03-31","495329","-164350","Industrials","20.52","-0.41|-1.96%","20.92-20.47","50760","23.01-17.11","India","3.56","3.87","28.39","6.89","1081.98","USD","-","-4.47","20.97","-","-","-"
"Igate Corp","1.1","EQUITY","IGTE","Small Growth","2013-07-31","262192","-41308","Technology","33.93","-0.58|-1.68%","34.3-33.59","223107","42.9-28.58","United States","-8","-2.1","27.96","30.69","2037.84","USD","-","-14.07","29.38","-","-","-"
"Xerox Corporation","1.09","EQUITY","XRX","Mid Value","2014-01-31","723000","-180100","Technology","13.43","-0.34|-2.47%","13.77-13.43","7343378","14.36-10.26","United States","1.71","25.58","20.84","13.2","15719.22","USD","2","14.69","14.96","-","-","-"
"Fiserv Inc","1.07","EQUITY","FISV","Large Growth","2006-11-30","135400","-33700","Industrials","68.35","-1.58|-2.26%","70-68.35","1567904","71.85-53.68","United States","7.12","26.7","33.6","24.35","17060.55","USD","2","18.43","22.61","-","-","-"
"Global Payments Inc","1.06","EQUITY","GPN","Mid Core","2011-10-31","116700","-33000","Industrials","79.23","-2.46|-3.01%","81.42-79.15","768009","85.89-61.22","United States","14.55","29.38","22.19","10.12","5525.28","USD","2","25.82","22.74","-","-","-"
"Total System Services Inc","0.92","EQUITY","TSS","Mid Core","2012-08-31","239100","-59600","Financial Services","32.34","-0.74|-2.24%","32.84-32.31","1065668","34.05-27","United States","4.67","7.9","19.28","15.03","6149.5","USD","2","0.3","24.05","-","-","-"
"Syntel Inc","0.87","EQUITY","SYNT","Small Growth","2009-09-30","89100","-24400","Technology","44.18","-1.22|-2.69%","45.2-44.14","128494","48.62-38.26","United States","2.48","3.91","23.99","19.8","3801.56","USD","-","-0.16","15.53","-","-","-"
"Sapient Corp","0.78","EQUITY","SAPE","Small Growth","2005-05-31","400100","-99600","Technology","24.83","0.01|0.04%","24.85-24.8","822054","24.92-12.85","United States","65.69","54.26","26.16","27.82","3493.19","USD","-","42.97","43.39","-","-","-"
"Gartner Inc Class A","0.78","EQUITY","IT","Mid Growth","2010-09-30","85300","-41700","Technology","82.72","-1.78|-2.11%","84.22-82.59","312675","87.11-61.28","United States","10.27","29.2","32.29","36.64","7438.34","USD","-","18.93","41.77","-","-","-"
"IBS Group Holding LTD ADR","0.75","EQUITY","IBSG","-","2012-09-30","175316","0","Technology","-","-","-","-","-","-","11.84","21.43","19.56","48.71","-","EUR","-","2","-","-","-","-"
"Unisys Corp","0.74","EQUITY","UIS","Small Value","2009-10-31","254390","-298300","Technology","24.83","-0.61|-2.4%","25.44-24.66","244901","36.05-18.72","United States","7.3","-14.34","1.37","-5.24","1270.15","USD","-","-24.22","12.34","-","-","-"
"Perficient Inc","0.7","EQUITY","PRFT","Small Growth","2014-04-30","374200","-93400","Technology","17.27","-0.84|-4.64%","17.97-17.02","170799","24.11-14.05","United States","13.26","-20.08","32.36","17.17","623.43","USD","-","-22.67","26.73","-","-","-"
"H&R Block Inc","0.69","EQUITY","HRB","Mid Core","2013-03-31","189700","-22200","Consumer Cyclical","31.96","0.2|0.63%","32.2-31.41","4142399","35.09-26.92","United States","-1.54","16.24","29.23","11.42","8739.34","USD","-","12.12","17.78","-","-","-"
"Euronet Worldwide Inc","0.68","EQUITY","EEFT","Small Growth","2009-04-30","111200","-17000","Industrials","56.09","-0.25|-0.44%","57.16-55.05","267573","59.75-36.05","United States","11.52","23.99","46.66","21.33","2963.42","USD","-","17.74","37.03","-","-","-"
"Interactive Intelligence Group Inc","0.65","EQUITY","ININ","Small Growth","2014-05-31","119200","1700","Technology","43.11","-0.08|-0.19%","44.07-42.54","107235","81.59-35.87","United States","-3.74","-30.54","21.05","21.65","910.79","USD","-","-35.88","-","-","-","-"
"NeuStar Inc","0.64","EQUITY","NSR","Small Core","2009-02-28","213076","-42400","Communication Services","25.85","-0.1|-0.39%","26.11-25.61","494767","50.22-23.82","United States","-3.21","-46.08","-8.06","2.88","1424.11","USD","-","-47.95","10.25","-","-","-"
"Heartland Payment Systems Inc","0.56","EQUITY","HPY","Small Growth","2009-02-28","95800","-23800","Industrials","52.37","-1.43|-2.66%","53.36-52.13","294310","56.28-37.25","United States","11.4","22.35","33.43","36.68","1948.67","USD","2","8.63","28.34","-","-","-"
"Cornerstone OnDemand Inc","0.54","EQUITY","CSOD","Small Growth","2014-04-30","132100","-7100","Technology","34.03","-0.09|-0.26%","34.42-33.75","547888","61.85-25.99","United States","-19.03","-28.84","22.09","-","1827.31","USD","-","-36","-","-","-","-"
"FleetMatics Group PLC","0.53","EQUITY","FLTX","Small Growth","2013-03-31","126032","-14800","Technology","37.25","-0.08|-0.21%","37.97-36.72","329215","44.52-25.43","Ireland","18.17","3.29","-","-","1409.1","USD","-","-13.69","45.78","-","-","-"
"MoneyGram International Inc","0.46","EQUITY","MGI","Small Value","2013-06-30","472000","-152200","Financial Services","8.3","-0.28|-3.26%","8.54-8.26","290162","21.14-7.57","United States","-38.23","-56.45","-20.24","-13.54","462.98","USD","3","-58.71","6.81","-","-","-"
"CommVault Systems Inc","0.46","EQUITY","CVLT","Small Growth","2013-12-31","91134","16700","Technology","47.87","-0.56|-1.16%","48.4-47.71","420609","77.51-39.58","United States","-13.25","-30.4","-0.51","16.48","2216.37","USD","-","-35.31","44.9","-","-","-"
"Maximus Inc","0.46","EQUITY","MMS","Small Growth","2009-02-28","83100","-20600","Industrials","51.28","-0.8|-1.54%","52.15-51.28","288568","54.33-37.94","United States","26.06","19.12","36.05","34.98","3429.97","USD","-","18.8","24.74","-","-","-"
"DST Systems, Inc.","0.45","EQUITY","DST","Mid Core","2014-05-31","41600","-10200","Industrials","94.39","-1|-1.05%","95.71-94.3","325567","100.38-81.83","United States","7.01","10.58","26.5","17.96","3630.47","USD","-","6.45","9.4","-","-","-"
"Globant SA","0.44","EQUITY","GLOB","Small Growth","2014-07-31","297500","-73900","Technology","13.33","-0.14|-1.04%","13.68-13.26","34876","14.78-10.65","Luxembourg","2.59","-","-","-","449.16","USD","-","-","30.2","-","-","-"
"EPAM Systems Inc","0.44","EQUITY","EPAM","Small Growth","2012-02-29","80500","-90300","Technology","50.9","-0.33|-0.64%","51.6-50.44","246880","52.89-29.44","United States","35.1","53.43","-","-","2454.23","USD","-","46.62","36.18","-","-","-"
