"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"US Treasury TIP 2.375%","1.51","BOND - GOV'T INFLATION PROTECTED","-","-","-","15163305","202014","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2027-01-15","2.38","-"
"Italy(Rep Of) 3.75%","1.45","BOND - GOV'T/TREASURY","-","-","-","12600000","0","-","-","-","-","-","-","-","-","-","-","-","-","EUR","-","-","-","2015-08-01","3.75","-"
"FNMA","1.44","BOND - GOV'T AGENCY PASS-THRU","-","-","-","16000000","16000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-08-12","5","-"
"FNMA 0.875%","1.37","BOND - GOV'T AGENCY DEBT","-","-","-","17000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-10-26","0.88","-"
"FNMA","1.17","BOND - GOV'T AGENCY PASS-THRU","-","-","-","13000000","13000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-07-14","5","-"
"Spanish Govt Bd (Bonos Y Oblig)","1.13","BOND - GOV'T/TREASURY","-","-","-","9700000","9700000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-10-31","3.75","-"
"Barclays Bank Plc Sub Jr Sub Rci","1.06","EQUITY","-","-","2013-06-30","5600000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","14","-"
"Long Beach Mtg Ln Tr 2005-3 FRN","0.99","BOND - ASSET BACKED","-","-","-","13000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2035-09-25","4.06","-"
"US TREASURY TIP","0.94","BOND - GOV'T INFLATION PROTECTED","-","-","-","9557456","127300","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2025-01-15","2.38","-"
"Bank Of Nova Scotia","0.89","BOND - CORPORATE BOND","-","-","-","11800000","11800000","-","-","-","-","-","-","-","-","-","-","-","-","CAD","-","-","-","-","0","-"
