"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Cdx Itraxx Main21 5y Bp Ice","0.3","CREDIT DEFAULT SWAP","-","-","-","8600000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"Spain Gov't Sw Sp Jpm","0.3","CREDIT DEFAULT SWAP","-","-","-","11700000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"Jp Morgan Chase 2007-Ldp10 CMO 5.439%","0.3","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","10819837","-16177","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2049-01-15","5.44","-"
"Banc Amer Fdg 2012-R5 144A","0.3","BOND - CORPORATE BOND","-","-","-","11973273","11973273","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2039-10-02","0.42","-"
"President&Fellow Harvard Coll 144A 6.5%","0.3","BOND - CORPORATE BOND","-","-","-","8600000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2039-01-15","6.5","-"
"Spain Gov't Sw Sp Dub","0.3","CREDIT DEFAULT SWAP","-","-","-","11600000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"Ford Motor Credit Company FRN","0.29","BOND - CORPORATE BOND","-","-","-","11700000","11700000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-11-08","0.67","-"
"At&T FRN","0.28","BOND - CORPORATE BOND","-","-","-","11100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-03-30","0.65","-"
"Citigroup FRN","0.28","BOND - CORPORATE BOND","-","-","-","11100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-06-09","0.5","-"
"Verizon Comms FRN","0.28","BOND - CORPORATE BOND","-","-","-","10400000","100000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-09-14","1.98","-"
"Csfb Coml Mtg Ptc 2006-C4 CMO 5.46%","0.27","BOND - COMMERCIAL MBS","-","-","-","10088213","-56346","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2039-09-15","5.46","-"
"Wells Fargo Alt Ln 2007-Pa4 CMO","0.26","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","12309819","-399978","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2037-07-25","6.1","-"
"Union Bk Calif N A Medium Term FRN","0.26","BOND - CORPORATE BOND","-","-","-","10300000","10300000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-05-05","0.62","-"
"Cwalt Inc 2005-10cb CMO","0.26","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","12083082","12083082","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2035-05-25","3.35","-"
"FNMA","0.25","BOND - GOV'T AGENCY PASS-THRU","-","-","-","9000000","9000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2037-08-15","5.5","-"
"Mexico La Sp Fbf","0.25","CREDIT DEFAULT SWAP","-","-","-","9700000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-12-20","1","-"
"Echostar Dbs 7.125%","0.25","BOND - CORPORATE BOND","-","-","-","9030000","9030000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-02-01","7.12","-"
"US TREASURY TIP","0.24","BOND - GOV'T INFLATION PROTECTED","-","-","-","7922628","105525","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2025-01-15","2.38","-"
"US Treasury TIP","0.24","BOND - GOV'T INFLATION PROTECTED","-","-","-","9044964","224259","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2021-07-15","0.62","-"
"Volkswagen Intl Fin 144A FRN","0.24","BOND - CORPORATE BOND","-","-","-","9500000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-11-18","0.56","-"
"Spain Gov't Sw Sp Dub","0.24","CREDIT DEFAULT SWAP","-","-","-","9300000","9300000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"Rabobank Nederland 144A FRN","0.24","BOND - CORPORATE BOND","-","-","-","7000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","11","-"
"Spain Gov't Sw Sp Gst","0.24","CREDIT DEFAULT SWAP","-","-","-","9200000","9200000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"U S G 144A 8.375%","0.23","BOND - CORPORATE BOND","-","-","-","8800000","8800000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-10-15","8.38","-"
"Bbva Bancomer S A Inst De Ban 144A 6.75%","0.23","BOND - CORPORATE BOND","-","-","-","8100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2022-09-30","6.75","-"
"FHLMC 5%","0.23","BOND - GOV'T AGENCY PASS-THRU","-","-","-","8343192","-614939","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2038-03-01","5","-"
"US Treasury TIP 1.75%","0.23","BOND - GOV'T INFLATION PROTECTED","-","-","-","7807350","103983","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2028-01-15","1.75","-"
"Sg Mtg Secs Tr 2006-Fre1 FRN","0.23","BOND - ASSET BACKED","-","-","-","15575886","-633059","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2036-02-25","5.26","-"
"Csmc Ab Tr Osi 2007-Nc1 FRN","0.22","BOND - ASSET BACKED","-","-","-","10166271","-92330","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2047-05-25","6.16","-"
"US Treasury TIP","0.22","BOND - GOV'T INFLATION PROTECTED","-","-","-","8761800","116705","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2022-07-15","0.12","-"
"Citigroup Coml Mtg 2004-C2 CMO 4.733%","0.21","BOND - COMMERCIAL MBS","-","-","-","8381810","-4587210","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2041-10-15","4.73","-"
"Daimler Fin North Amer 144A FRN","0.21","BOND - CORPORATE BOND","-","-","-","8200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-08-01","0.91","-"
"Kroger FRN","0.21","BOND - CORPORATE BOND","-","-","-","8200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-10-17","0.76","-"
"US Treasury TIP 2.5%","0.2","BOND - GOV'T INFLATION PROTECTED","-","-","-","6403664","-23619","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2029-01-15","2.5","-"
"Sprint Nextel 8.375%","0.2","BOND - CORPORATE BOND","-","-","-","6750000","6750000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-08-15","8.38","-"
"Nordea Bk Ab Mtn 144a 144A FRN","0.2","BOND - CORPORATE BOND","-","-","-","7800000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-04-04","0.59","-"
"Cit Grp 3.875%","0.2","BOND - CORPORATE BOND","-","-","-","7660000","7660000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-02-19","3.88","-"
"Irs Mxn R 5.000 09/19/12-5y* Myc","0.19","INTEREST RATE SWAP","-","-","-","97000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-09-13","5","-"
"Verizon Comms 3.65%","0.19","BOND - CORPORATE BOND","-","-","-","7100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-09-14","3.65","-"
"US Treasury TIP 2%","0.19","BOND - GOV'T INFLATION PROTECTED","-","-","-","6329896","84323","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2026-01-15","2","-"
