"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Whirlpool Corp","0.24","EQUITY","WHR","Mid Core","2006-06-30","725000","-110800","Technology","180.64","-3.82|-2.07%","185.6-180.45","1120796","190.22-124.39","United States","20.76","26.67","56.74","21.17","14364.08","USD","-","19.43","19.58","-","-","-"
"BlackBerry Ltd","0.23","EQUITY","BB","Mid Core","2011-03-31","10438600","0","Technology","11.37","-0.34|-2.9%","11.83-11.36","2520802","14.26-6.18","Canada","-1.68","86.17","-11.27","-29.59","6171.17","CAD","2","48.23","-","-","-","-"
"Corning Inc","0.23","EQUITY","GLW","Large Core","2002-06-30","5243200","0","Technology","20.63","-0.56|-2.64%","21.11-20.63","7434024","22.37-16.55","United States","1.67","27.45","17.37","4.23","27162.36","USD","3","21.16","16.55","-","-","-"
"Symantec Corp","0.21","EQUITY","SYMC","Large Core","2002-06-30","3974500","-3092400","Technology","25.26","-0.58|-2.24%","25.76-25.17","3425693","26.58-17.95","United States","4.93","18.99","18.43","8.83","17833.41","USD","3","12.13","18.43","-","-","-"
"Pentair PLC","0.21","EQUITY","PNR","Mid Growth","2013-06-30","1399000","90000","Industrials","60.02","-1.34|-2.18%","61.2-60.01","1256759","83.37-59.09","United States","-9.04","-11.09","20.51","15.91","11461.69","USD","4","-19.58","18.24","-","-","-"
"Canadian Pacific Railway Ltd","0.2","EQUITY","CP","Large Growth","2006-12-31","425800","-22000","Industrials","204.15","2.84|1.41%","208.01-197.14","659256","247.56-155.02","Canada","-11.53","27.64","46.94","29.65","34348.66","CAD","2","25.96","31.99","-","-","-"
"Rockwell Automation Inc","0.19","EQUITY","ROK","Mid Core","2010-09-30","775000","0","Industrials","104.8","-2.09|-1.96%","106.86-104.77","1780454","128.57-98.55","United States","-7.42","-0.36","13.46","19.52","14512.58","USD","3","-7.52","18.06","-","-","-"
"Activision Blizzard Inc","0.18","EQUITY","ATVI","Mid Growth","2010-03-31","3945000","0","Technology","19.9","-0.44|-2.16%","20.17-19.47","11742356","24.18-16.55","United States","-14.79","20.75","19.54","14.57","14625.07","USD","3","15.2","23.06","-","-","-"
"Exxon Mobil Corporation","0.13","EQUITY","XOM","Large Value","2012-06-30","615000","0","Energy","86.6","-2.6|-2.91%","89-86.6","24568339","104.76-86.6","United States","-7.36","-2.5","5.88","6.57","377719.97","USD","4","-9.19","11.22","-","-","-"
"Apple Inc","0.12","EQUITY","AAPL","Large Core","2008-12-31","546000","0","Technology","109.73","-1.89|-1.69%","111.87-109.58","56028138","119.75-70.51","United States","10.51","41.49","27.27","33.04","654633.44","USD","3","41.57","17.3","-","-","-"
"American Airlines Group Inc","0.12","EQUITY","AAL","Large Growth","2014-03-31","1475000","1415000","Industrials","49.97","-0.56|-1.11%","51.7-49.9","15364034","51.75-24.63","United States","32.92","95.19","-","-","36243.33","USD","-","100.91","91.94","-","-","-"
"VF Corp","0.11","EQUITY","VFC","Large Growth","2012-09-30","772400","0","Consumer Cyclical","72.68","-0.65|-0.89%","73.9-72.65","1336136","74.72-55.14","United States","13.9","29.91","30.61","33.36","31669.19","USD","3","19.41","25.08","-","-","-"
"Progressive Corp","0.11","EQUITY","PGR","Mid Value","2014-09-30","2004756","2004756","Financial Services","26.39","-0.46|-1.71%","26.85-26.39","3467192","27.48-22.53","United States","7.23","4.97","17.91","12.66","15820.21","USD","2","3.93","13.25","-","-","-"
"SanDisk Corp","0.11","EQUITY","SNDK","Large Growth","2012-03-31","500000","0","Technology","98.79","-2.94|-2.89%","101.13-98.19","3392033","108.77-64.5","United States","2.97","52.56","27","35.12","22446.6","USD","1","45.7","21.18","-","-","-"
"Amazon.com Inc","0.11","EQUITY","AMZN","Large Growth","2007-03-31","146000","70000","Consumer Cyclical","307.32","-0.04|-0.01%","310.64-303.01","3162322","408.06-284","United States","-7.01","-19.58","16.77","18.04","142309.66","USD","4","-22.93","-","-","-","-"
"Cameron International Corp","0.1","EQUITY","CAM","Mid Core","2012-03-31","687500","0","Energy","45.62","-0.97|-2.08%","46.65-45.55","3726874","74.89-45.55","United States","-35.37","-15.32","-4.22","4.19","9199.01","USD","5","-21.74","12.63","-","-","-"
"National Oilwell Varco Inc","0.1","EQUITY","NOV","Large Value","2007-03-31","579600","0","Energy","61.55","-1.46|-2.32%","62.5-60.88","5578309","86.55-60.88","United States","-23.06","-8.5","-0.13","10.98","27130.45","USD","4","-9.84","10.29","-","-","-"
"Costco Wholesale Corp","0.1","EQUITY","COST","Large Growth","2002-09-30","350000","-100000","Consumer Defensive","137.88","-3.53|-2.5%","141.36-137.83","3672019","146.82-109.5","United States","12.57","20.42","21.69","20.99","61903.93","USD","2","19.97","30.4","-","-","-"
"American Express Co","0.1","EQUITY","AXP","Large Growth","2011-12-31","482100","0","Financial Services","91","-2.13|-2.29%","93.02-90.94","4487604","96.24-78.41","United States","5.62","12.17","25.19","19","96359.42","USD","2","3.73","17.2","-","-","-"
"Time Warner Cable Inc","0.09","EQUITY","TWC","Large Growth","2012-06-30","293304","0","Communication Services","145.12","-2.03|-1.38%","147.51-144.71","1692246","155.32-128.78","United States","-4.11","14.18","35.38","30.19","41274.77","USD","2","10.81","20.66","-","-","-"
"Encana Corp","0.09","EQUITY","ECA","Large Core","2004-09-30","1979000","0","Energy","14.12","-0.36|-2.49%","14.43-14.03","4818910","26.85-14.03","Canada","-40.98","-22.84","-5.53","-9.62","10731.13","CAD","5","-22.88","3.18","-","-","-"
"CSX Corp","0.09","EQUITY","CSX","Large Core","2012-03-31","1290000","30000","Industrials","34.84","-0.54|-1.53%","35.72-34.82","5704018","37.99-25.84","United States","13.33","31.66","20.32","18.32","35217.16","USD","3","25.17","19.13","-","-","-"
"Expeditors International of Washington Inc","0.08","EQUITY","EXPD","Mid Core","2008-12-31","840742","-50000","Industrials","44.67","0.02|0.04%","45.17-44.26","1624553","46.8-38.14","United States","5.81","6.56","3.64","7.72","8618.82","USD","3","2.35","24.72","-","-","-"
"Southwestern Energy Co","0.08","EQUITY","SWN","Mid Core","2009-06-30","968779","35000","Energy","28.71","-0.32|-1.1%","29.6-28.59","6386581","49.16-28.05","United States","-23.91","-23.99","-7.59","-6.88","10250.93","USD","5","-26.19","13.51","-","-","-"
"eBay Inc","0.07","EQUITY","EBAY","Large Growth","2013-09-30","583000","252000","Consumer Cyclical","55.77","-1.01|-1.79%","56.78-55.76","9516022","59.7-46.34","United States","12.05","10.54","21.53","20.13","70547.83","USD","3","3.5","-","-","-","-"
"MasterCard Inc Class A","0.07","EQUITY","MA","Large Growth","2011-03-31","412500","0","Financial Services","84.13","-3.56|-4.06%","87.32-84.11","6646804","89.87-68.68","United States","16.11","11.48","32.83","29.42","101093.87","USD","3","5.49","30.08","-","-","-"
"Entegris Inc","0.07","EQUITY","ENTG","Small Growth","2005-09-30","2583472","0","Technology","13.08","-0.21|-1.58%","13.34-12.9","373889","14.05-10.2","United States","9.74","24.32","14.86","21.74","1853.97","USD","-","14.67","96.82","-","-","-"
"Discover Financial Services","0.06","EQUITY","DFS","Large Core","2014-03-31","436100","0","Financial Services","61.81","-1.41|-2.23%","63.22-61.79","2905810","66.75-51.63","United States","1.15","21.75","38.18","32.37","28668.99","USD","3","14.64","12.02","-","-","-"
"Agilent Technologies Inc","0.06","EQUITY","A","Mid Core","2014-09-30","458500","458500","Healthcare","39.72","-0.9|-2.22%","40.62-39.71","2335765","43.78-35.61","United States","-1.14","4.54","18.03","14.41","13547.29","USD","3","0.02","19.81","-","-","-"
"Rambus Inc","0.06","EQUITY","RMBS","Small Core","2004-03-31","2000000","0","Technology","11.25","-0.26|-2.26%","11.42-11.17","356403","14.82-8.38","United States","-10.5","15.1","14.99","-11.76","1320.81","USD","-","21.54","156.18","-","-","-"
